market,symbol,holder_name,holding_pct,rank
hk,0011.HK,"Cindafund Investment Management Co., Ltd",0.0167,13
hk,0011.HK,"Taikang Asset Management Co., Ltd.",0.0151,14
hk,0011.HK,China Merchants Fund Management Co. Ltd.,0.0138,15
hk,0011.HK,"Huatai-PineBridge Fund Management Co., Ltd.",0.0098,16
hk,0011.HK,TD Asset Management Inc.,0.0079,17
hk,0011.HK,BlackRock Asset Management North Asia Limited,0.0076,18
hk,0011.HK,China Southern Asset Management Co. Ltd.,0.0076,19
hk,0011.HK,"Northern Trust Investments, Inc.",0.0068,20
hk,0012.HK,Hopkins (Cayman) Limited,72.4954,1
hk,0012.HK,"BlackRock Institutional Trust Company, N.A.",1.0374,2
hk,0012.HK,"Vanguard Capital Management, LLC",0.9193,3
hk,0012.HK,Capital Research Global Investors,0.8491,4
hk,0012.HK,Aviva Investors Global Services Limited,0.6246,5
hk,0012.HK,Hang Seng Investment Management Ltd.,0.5672,6
hk,0012.HK,BlackRock Asset Management Deutschland AG,0.4439,7
hk,0012.HK,JPMorgan Asset Management (China) Company Limited.,0.4153,8
hk,0012.HK,BlackRock Advisors (UK) Limited,0.3502,9
hk,0012.HK,RBC Global Asset Management (Asia) Limited,0.3304,10
hk,0012.HK,Norges Bank Investment Management (NBIM),0.2781,11
hk,0012.HK,"Geode Capital Management, L.L.C.",0.2501,12
hk,0012.HK,Ninety One UK Limited,0.1867,13
hk,0012.HK,BlackRock Investment Management (UK) Ltd.,0.1793,14
hk,0012.HK,"Dimensional Fund Advisors, L.P.",0.1594,15
hk,0012.HK,Capital World Investors,0.159,16
hk,0012.HK,Caisse de Depot et Placement du Quebec,0.1294,17
hk,0012.HK,Nomura Investment Management Business Trust,0.1263,18
hk,0012.HK,California Public Employees' Retirement System,0.1067,19
hk,0012.HK,"Bosera Asset Management Co., Ltd.",0.106,20
hk,0013.HK,Hutchison Healthcare Holdings Ltd.,38.1137,1
hk,0013.HK,"China Universal Asset Management Co., Ltd.",2.4297,2
hk,0013.HK,"GF Fund Management Co., Ltd.",1.825,3
hk,0013.HK,"Vanguard Capital Management, LLC",1.6577,4
hk,0013.HK,Norges Bank Investment Management (NBIM),1.0089,5
hk,0013.HK,"BlackRock Institutional Trust Company, N.A.",0.9169,6
hk,0013.HK,"Penghua Fund Management Co., Ltd.",0.9139,7
hk,0013.HK,"Yinhua Fund Management Co., Ltd.",0.8584,8
hk,0013.HK,M&G Investment Management Ltd.,0.8295,9
hk,0013.HK,"Dacheng Fund Management Co., Ltd.",0.7782,10
hk,0013.HK,Fidelity International,0.6288,11
hk,0013.HK,"HSBC JinTrust Fund Management Co., Ltd.",0.5691,12
hk,0013.HK,"ICBC UBS Asset Management Co., Ltd.",0.549,13
hk,0013.HK,E Fund Management Co. Ltd.,0.5396,14
hk,0013.HK,Su (Wei-guo Ph.D.),0.4324,15
hk,0013.HK,"Dimensional Fund Advisors, L.P.",0.418,16
hk,0013.HK,"China Asset Management Co., Ltd.",0.3922,17
hk,0013.HK,BlackRock Advisors (UK) Limited,0.3666,18
hk,0013.HK,"Bosera Asset Management Co., Ltd.",0.3408,19
hk,0013.HK,"Harvest Fund Management Co., Ltd.",0.2868,20
hk,0014.HK,Lee Hysan Company Ltd,42.174,1
hk,0014.HK,Hang Seng Investment Management Ltd.,2.119,2
hk,0014.HK,"Vanguard Capital Management, LLC",1.8898,3
hk,0014.HK,Mirae Asset Global Investments (Hong Kong) Limited,0.6586,4
hk,0014.HK,"Dimensional Fund Advisors, L.P.",0.6132,5
